variance of Wavelet Transformed image,skewness of Wavelet Transformed image,curtosis of Wavelet Transformed image,entropy of image (continuous),class
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range4 [0.492 - 1.952],range1 [-inf - -4.452],range6 [5.461 - inf],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range1 [-inf - -2.588],range4 [-0.589 - 0.048],class0
range3 [-1.048 - 0.492],range1 [-inf - -4.452],range5 [2.132 - 5.461],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range4 [0.492 - 1.952],range6 [8.293 - inf],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range4 [0.492 - 1.952],range1 [-inf - -4.452],range6 [5.461 - inf],range2 [-3.440 - -1.492],class0
range4 [0.492 - 1.952],range2 [-4.452 - -0.026],range6 [5.461 - inf],range3 [-1.492 - -0.589],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range5 [2.132 - 5.461],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range3 [-1.048 - 0.492],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range3 [-1.492 - -0.589],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range2 [-2.451 - -1.048],range3 [-0.026 - 2.310],range6 [5.461 - inf],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range3 [-1.492 - -0.589],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range3 [-1.492 - -0.589],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range2 [-2.588 - -0.638],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range5 [0.048 - 0.654],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range3 [-1.492 - -0.589],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range1 [-inf - -4.452],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range2 [-2.588 - -0.638],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range3 [-0.638 - 0.615],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range4 [0.615 - 2.132],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range4 [0.492 - 1.952],range2 [-4.452 - -0.026],range4 [0.615 - 2.132],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range2 [-2.588 - -0.638],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range4 [2.310 - 4.751],range4 [0.615 - 2.132],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range2 [-3.440 - -1.492],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range4 [2.310 - 4.751],range3 [-0.638 - 0.615],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range3 [-1.048 - 0.492],range5 [4.751 - 8.293],range4 [0.615 - 2.132],range3 [-1.492 - -0.589],class0
range3 [-1.048 - 0.492],range5 [4.751 - 8.293],range4 [0.615 - 2.132],range3 [-1.492 - -0.589],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range6 [0.654 - inf],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range2 [-2.451 - -1.048],range3 [-0.026 - 2.310],range6 [5.461 - inf],range6 [0.654 - inf],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range4 [0.615 - 2.132],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range4 [0.615 - 2.132],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range5 [1.952 - 3.658],range1 [-inf - -4.452],range6 [5.461 - inf],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range5 [0.048 - 0.654],class0
range3 [-1.048 - 0.492],range1 [-inf - -4.452],range6 [5.461 - inf],range2 [-3.440 - -1.492],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range1 [-inf - -4.452],range6 [5.461 - inf],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range1 [-inf - -2.451],range6 [8.293 - inf],range5 [2.132 - 5.461],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range1 [-inf - -4.452],range5 [2.132 - 5.461],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range1 [-inf - -4.452],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range2 [-2.451 - -1.048],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range1 [-inf - -4.452],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range4 [-0.589 - 0.048],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range6 [0.654 - inf],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range5 [1.952 - 3.658],range4 [2.310 - 4.751],range2 [-2.588 - -0.638],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range4 [0.492 - 1.952],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range2 [-2.451 - -1.048],range3 [-0.026 - 2.310],range6 [5.461 - inf],range6 [0.654 - inf],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range5 [0.048 - 0.654],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range5 [2.132 - 5.461],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range3 [-0.638 - 0.615],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range2 [-3.440 - -1.492],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range5 [0.048 - 0.654],class0
range3 [-1.048 - 0.492],range5 [4.751 - 8.293],range4 [0.615 - 2.132],range4 [-0.589 - 0.048],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range4 [0.492 - 1.952],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range2 [-2.588 - -0.638],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range4 [0.492 - 1.952],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range4 [0.492 - 1.952],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range5 [2.132 - 5.461],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range3 [-0.638 - 0.615],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range5 [1.952 - 3.658],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range5 [1.952 - 3.658],range1 [-inf - -4.452],range6 [5.461 - inf],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range5 [1.952 - 3.658],range1 [-inf - -4.452],range5 [2.132 - 5.461],range3 [-1.492 - -0.589],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range2 [-2.588 - -0.638],range6 [0.654 - inf],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range3 [-1.048 - 0.492],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range3 [-0.638 - 0.615],range6 [0.654 - inf],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range4 [0.492 - 1.952],range6 [8.293 - inf],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range3 [-1.048 - 0.492],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range4 [0.492 - 1.952],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range2 [-2.451 - -1.048],range3 [-0.026 - 2.310],range6 [5.461 - inf],range6 [0.654 - inf],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range4 [-0.589 - 0.048],class0
range3 [-1.048 - 0.492],range2 [-4.452 - -0.026],range6 [5.461 - inf],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range2 [-3.440 - -1.492],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range3 [-0.638 - 0.615],range4 [-0.589 - 0.048],class0
range3 [-1.048 - 0.492],range2 [-4.452 - -0.026],range6 [5.461 - inf],range4 [-0.589 - 0.048],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range3 [-1.492 - -0.589],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range5 [2.132 - 5.461],range1 [-inf - -3.440],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range1 [-inf - -4.452],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range1 [-inf - -4.452],range6 [5.461 - inf],range4 [-0.589 - 0.048],class0
range4 [0.492 - 1.952],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range4 [0.492 - 1.952],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range2 [-2.451 - -1.048],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range3 [-1.492 - -0.589],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range1 [-inf - -2.588],range4 [-0.589 - 0.048],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range5 [2.132 - 5.461],range2 [-3.440 - -1.492],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range3 [-1.048 - 0.492],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range4 [0.492 - 1.952],range5 [4.751 - 8.293],range4 [0.615 - 2.132],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range3 [-0.638 - 0.615],range6 [0.654 - inf],class0
range6 [3.658 - inf],range5 [4.751 - 8.293],range1 [-inf - -2.588],range4 [-0.589 - 0.048],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range3 [-0.638 - 0.615],range2 [-3.440 - -1.492],class0
range5 [1.952 - 3.658],range2 [-4.452 - -0.026],range6 [5.461 - inf],range3 [-1.492 - -0.589],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range1 [-inf - -2.588],range3 [-1.492 - -0.589],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range5 [0.048 - 0.654],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
range6 [3.658 - inf],range4 [2.310 - 4.751],range2 [-2.588 - -0.638],range6 [0.654 - inf],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range3 [-0.638 - 0.615],range4 [-0.589 - 0.048],class0
range4 [0.492 - 1.952],range3 [-0.026 - 2.310],range6 [5.461 - inf],range4 [-0.589 - 0.048],class0
range3 [-1.048 - 0.492],range5 [4.751 - 8.293],range4 [0.615 - 2.132],range1 [-inf - -3.440],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range5 [2.132 - 5.461],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range5 [4.751 - 8.293],range2 [-2.588 - -0.638],range5 [0.048 - 0.654],class0
range4 [0.492 - 1.952],range3 [-0.026 - 2.310],range6 [5.461 - inf],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range6 [8.293 - inf],range1 [-inf - -2.588],range1 [-inf - -3.440],class0
range3 [-1.048 - 0.492],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range4 [0.492 - 1.952],range4 [2.310 - 4.751],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range4 [0.492 - 1.952],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range4 [-0.589 - 0.048],class0
range1 [-inf - -2.451],range6 [8.293 - inf],range2 [-2.588 - -0.638],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range2 [-4.452 - -0.026],range4 [0.615 - 2.132],range4 [-0.589 - 0.048],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range3 [-0.638 - 0.615],range6 [0.654 - inf],class0
range2 [-2.451 - -1.048],range3 [-0.026 - 2.310],range6 [5.461 - inf],range6 [0.654 - inf],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range5 [2.132 - 5.461],range1 [-inf - -3.440],class0
range5 [1.952 - 3.658],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range3 [-1.048 - 0.492],range2 [-4.452 - -0.026],range6 [5.461 - inf],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range4 [2.310 - 4.751],range3 [-0.638 - 0.615],range5 [0.048 - 0.654],class0
range5 [1.952 - 3.658],range3 [-0.026 - 2.310],range5 [2.132 - 5.461],range4 [-0.589 - 0.048],class0
range2 [-2.451 - -1.048],range6 [8.293 - inf],range5 [2.132 - 5.461],range1 [-inf - -3.440],class0
range6 [3.658 - inf],range2 [-4.452 - -0.026],range5 [2.132 - 5.461],range6 [0.654 - inf],class0
range6 [3.658 - inf],range3 [-0.026 - 2.310],range4 [0.615 - 2.132],range6 [0.654 - inf],class0
