Buying,Maint,Doors,Persons,Lug_Boot, Savety, Acceptability
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,vhigh,two,two,small,low,unacc
vhigh,vhigh,two,two,small,med,unacc
vhigh,vhigh,two,two,small,high,unacc
vhigh,vhigh,two,two,med,low,unacc
vhigh,vhigh,two,two,med,med,unacc
vhigh,vhigh,two,two,med,high,unacc
vhigh,vhigh,two,two,big,low,unacc
vhigh,vhigh,two,two,big,med,unacc
vhigh,vhigh,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,high,two,two,small,low,unacc
vhigh,high,two,two,small,med,unacc
vhigh,high,two,two,small,high,unacc
vhigh,high,two,two,med,low,unacc
vhigh,high,two,two,med,med,unacc
vhigh,high,two,two,med,high,unacc
vhigh,high,two,two,big,low,unacc
vhigh,high,two,two,big,med,unacc
vhigh,high,two,two,big,high,unacc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,unacc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,unacc
vhigh,med,two,two,med,high,unacc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,unacc
vhigh,med,two,two,big,high,unacc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,acc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,unacc
vhigh,med,two,two,med,high,acc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,acc
vhigh,med,two,two,big,high,acc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,unacc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,unacc
vhigh,med,two,two,med,high,acc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,acc
vhigh,med,two,two,big,high,acc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,unacc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,unacc
vhigh,med,two,two,med,high,unacc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,unacc
vhigh,med,two,two,big,high,unacc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,acc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,unacc
vhigh,med,two,two,med,high,acc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,acc
vhigh,med,two,two,big,high,acc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,acc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,acc
vhigh,med,two,two,med,high,acc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,acc
vhigh,med,two,two,big,high,acc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,unacc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,unacc
vhigh,med,two,two,med,high,unacc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,unacc
vhigh,med,two,two,big,high,unacc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,acc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,acc
vhigh,med,two,two,med,high,acc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,acc
vhigh,med,two,two,big,high,acc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,acc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,acc
vhigh,med,two,two,med,high,acc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,acc
vhigh,med,two,two,big,high,acc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,unacc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,unacc
vhigh,med,two,two,med,high,unacc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,unacc
vhigh,med,two,two,big,high,unacc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,acc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,acc
vhigh,med,two,two,med,high,acc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,acc
vhigh,med,two,two,big,high,acc
vhigh,med,two,two,small,low,unacc
vhigh,med,two,two,small,med,unacc
vhigh,med,two,two,small,high,acc
vhigh,med,two,two,med,low,unacc
vhigh,med,two,two,med,med,acc
vhigh,med,two,two,med,high,acc
vhigh,med,two,two,big,low,unacc
vhigh,med,two,two,big,med,acc
vhigh,med,two,two,big,high,acc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,unacc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,unacc
vhigh,low,two,two,med,high,unacc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,unacc
vhigh,low,two,two,big,high,unacc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,acc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,unacc
vhigh,low,two,two,med,high,acc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,acc
vhigh,low,two,two,big,high,acc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,unacc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,unacc
vhigh,low,two,two,med,high,acc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,acc
vhigh,low,two,two,big,high,acc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,unacc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,unacc
vhigh,low,two,two,med,high,unacc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,unacc
vhigh,low,two,two,big,high,unacc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,acc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,unacc
vhigh,low,two,two,med,high,acc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,acc
vhigh,low,two,two,big,high,acc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,acc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,acc
vhigh,low,two,two,med,high,acc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,acc
vhigh,low,two,two,big,high,acc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,unacc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,unacc
vhigh,low,two,two,med,high,unacc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,unacc
vhigh,low,two,two,big,high,unacc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,acc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,acc
vhigh,low,two,two,med,high,acc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,acc
vhigh,low,two,two,big,high,acc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,acc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,acc
vhigh,low,two,two,med,high,acc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,acc
vhigh,low,two,two,big,high,acc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,unacc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,unacc
vhigh,low,two,two,med,high,unacc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,unacc
vhigh,low,two,two,big,high,unacc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,acc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,acc
vhigh,low,two,two,med,high,acc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,acc
vhigh,low,two,two,big,high,acc
vhigh,low,two,two,small,low,unacc
vhigh,low,two,two,small,med,unacc
vhigh,low,two,two,small,high,acc
vhigh,low,two,two,med,low,unacc
vhigh,low,two,two,med,med,acc
vhigh,low,two,two,med,high,acc
vhigh,low,two,two,big,low,unacc
vhigh,low,two,two,big,med,acc
vhigh,low,two,two,big,high,acc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,vhigh,three,two,small,low,unacc
high,vhigh,three,two,small,med,unacc
high,vhigh,three,two,small,high,unacc
high,vhigh,three,two,med,low,unacc
high,vhigh,three,two,med,med,unacc
high,vhigh,three,two,med,high,unacc
high,vhigh,three,two,big,low,unacc
high,vhigh,three,two,big,med,unacc
high,vhigh,three,two,big,high,unacc
high,high,three,two,small,low,unacc
high,high,three,two,small,med,unacc
high,high,three,two,small,high,unacc
high,high,three,two,med,low,unacc
high,high,three,two,med,med,unacc
high,high,three,two,med,high,unacc
high,high,three,two,big,low,unacc
high,high,three,two,big,med,unacc
high,high,three,two,big,high,unacc
high,high,three,two,small,low,unacc
high,high,three,two,small,med,unacc
high,high,three,two,small,high,acc
high,high,three,two,med,low,unacc
high,high,three,two,med,med,unacc
high,high,three,two,med,high,acc
high,high,three,two,big,low,unacc
high,high,three,two,big,med,acc
high,high,three,two,big,high,acc
high,high,three,two,small,low,unacc
high,high,three,two,small,med,unacc
high,high,three,two,small,high,unacc
high,high,three,two,med,low,unacc
high,high,three,two,med,med,unacc
high,high,three,two,med,high,acc
high,high,three,two,big,low,unacc
high,high,three,two,big,med,acc
high,high,three,two,big,high,acc
high,high,three,two,small,low,unacc
high,high,three,two,small,med,unacc
high,high,three,two,small,high,unacc
high,high,three,two,med,low,unacc
high,high,three,two,med,med,unacc
high,high,three,two,med,high,unacc
high,high,three,two,big,low,unacc
high,high,three,two,big,med,unacc
high,high,three,two,big,high,unacc
high,high,three,four,small,low,unacc
high,high,three,four,small,med,unacc
high,high,three,four,small,high,acc
high,high,three,four,med,low,unacc
high,high,three,four,med,med,unacc
high,high,three,four,med,high,acc
high,high,three,four,big,low,unacc
high,high,three,four,big,med,acc
high,high,three,four,big,high,acc
high,high,three,four,small,low,unacc
high,high,three,four,small,med,unacc
high,high,three,four,small,high,acc
high,high,three,four,med,low,unacc
high,high,three,four,med,med,acc
high,high,three,four,med,high,acc
high,high,three,four,big,low,unacc
high,high,three,four,big,med,acc
high,high,three,four,big,high,acc
high,high,three,four,small,low,unacc
high,high,three,four,small,med,unacc
high,high,three,four,small,high,unacc
high,high,three,four,med,low,unacc
high,high,three,four,med,med,unacc
high,high,three,four,med,high,unacc
high,high,three,four,big,low,unacc
high,high,three,four,big,med,unacc
high,high,three,four,big,high,unacc
high,high,three,four,small,low,unacc
high,high,three,four,small,med,unacc
high,high,three,four,small,high,acc
high,high,three,four,med,low,unacc
high,high,three,four,med,med,acc
high,high,three,four,med,high,acc
high,high,three,four,big,low,unacc
high,high,three,four,big,med,acc
high,high,three,four,big,high,acc
high,high,three,four,small,low,unacc
high,high,three,four,small,med,unacc
high,high,three,four,small,high,acc
high,high,three,four,med,low,unacc
high,high,three,four,med,med,acc
high,high,three,four,med,high,acc
high,high,three,four,big,low,unacc
high,high,three,four,big,med,acc
high,high,three,four,big,high,acc
high,high,three,four,small,low,unacc
high,high,three,four,small,med,unacc
high,high,three,four,small,high,unacc
high,high,three,four,med,low,unacc
high,high,three,four,med,med,unacc
high,high,three,four,med,high,unacc
high,high,three,four,big,low,unacc
high,high,three,four,big,med,unacc
high,high,three,four,big,high,unacc
high,high,three,four,small,low,unacc
high,high,three,four,small,med,unacc
high,high,three,four,small,high,acc
high,high,three,four,med,low,unacc
high,high,three,four,med,med,acc
high,high,three,four,med,high,acc
high,high,three,four,big,low,unacc
high,high,three,four,big,med,acc
high,high,three,four,big,high,acc
high,high,three,four,small,low,unacc
high,high,three,four,small,med,unacc
high,high,three,four,small,high,acc
high,high,three,four,med,low,unacc
high,high,three,four,med,med,acc
high,high,three,four,med,high,acc
high,high,three,four,big,low,unacc
high,high,three,four,big,med,acc
high,high,three,four,big,high,acc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,unacc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,unacc
high,med,three,four,med,high,unacc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,unacc
high,med,three,four,big,high,unacc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,acc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,unacc
high,med,three,four,med,high,acc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,acc
high,med,three,four,big,high,acc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,unacc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,unacc
high,med,three,four,med,high,acc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,acc
high,med,three,four,big,high,acc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,unacc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,unacc
high,med,three,four,med,high,unacc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,unacc
high,med,three,four,big,high,unacc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,acc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,unacc
high,med,three,four,med,high,acc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,acc
high,med,three,four,big,high,acc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,acc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,acc
high,med,three,four,med,high,acc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,acc
high,med,three,four,big,high,acc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,unacc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,unacc
high,med,three,four,med,high,unacc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,unacc
high,med,three,four,big,high,unacc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,acc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,acc
high,med,three,four,med,high,acc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,acc
high,med,three,four,big,high,acc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,acc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,acc
high,med,three,four,med,high,acc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,acc
high,med,three,four,big,high,acc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,unacc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,unacc
high,med,three,four,med,high,unacc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,unacc
high,med,three,four,big,high,unacc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,acc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,acc
high,med,three,four,med,high,acc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,acc
high,med,three,four,big,high,acc
high,med,three,four,small,low,unacc
high,med,three,four,small,med,unacc
high,med,three,four,small,high,acc
high,med,three,four,med,low,unacc
high,med,three,four,med,med,acc
high,med,three,four,med,high,acc
high,med,three,four,big,low,unacc
high,med,three,four,big,med,acc
high,med,three,four,big,high,acc
high,low,three,four,small,low,unacc
high,low,three,four,small,med,unacc
