"mcg";"gvh";"alm";"mit";"erl";"pox";"vac";"nuc";"SequenceName";"Class";"att11"
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"KAD2_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"ADP1_YEAST";"ME1";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"ADR1_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"AFG3_YEAST";"MIT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"AFR1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"RCS1_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"AGA1_YEAST";"ME1";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"AGA2_YEAST";"EXC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"YMX1_YEAST";"MIT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"SYAC_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"DHA1_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"DHA2_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ALG1_YEAST";"ME2";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ALG5_YEAST";"ME2";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"GPT_YEAST";"ME2";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ALG8_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"MAN1_YEAST";"VAC";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"ANC1_YEAST";"NUC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"ANP1_YEAST";"ME2";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"APE2_YEAST";"EXC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"APE3_YEAST";"VAC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ALP1_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"ADB2_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"YHB9_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"APN1_YEAST";"NUC";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ARD1_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ARF1_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ARF2_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ASSY_YEAST";"CYT";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"OTC_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ARLY_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"AR56_YEAST";"MIT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ARGD_YEAST";"MIT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"ARG1_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"ARG2_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"ARG3_YEAST";"NUC";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"ARO1_YEAST";"CYT";
"range2 [0.495 - inf]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"AROC_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"AROF_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"AROG_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"CHMU_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ASG2_YEAST";"EXC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"AST1_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"ATE1_YEAST";"CYT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATM1_YEAST";"MIT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATPA_YEAST";"MIT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATPY_YEAST";"MIT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"ATPS_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATPT_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"ATPU_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATPE_YEAST";"MIT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATPB_YEAST";"MIT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ATPG_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATPD_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"ATPO_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATP7_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range2 [0.250 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATP8_YEAST";"MIT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"ATR1_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"YBR8_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"BAR1_YEAST";"EXC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"BAS1_YEAST";"NUC";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"BCK1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"BCK2_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"BCS1_YEAST";"MIT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"KAPR_YEAST";"CYT";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"BDF1_YEAST";"NUC";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"BEM1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"BET1_YEAST";"ME3";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"BGL2_YEAST";"EXC";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"CYBM_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range2 [0.515 - inf]";"range1 [-inf - 0.225]";"YMC4_YEAST";"MIT";
"range2 [0.495 - inf]";"range2 [0.495 - inf]";"range2 [0.515 - inf]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"BIK1_YEAST";"CYT";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"BOS1_YEAST";"ME3";
"range1 [-inf - 0.495]";"range1 [-inf - 0.495]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"BSD2_YEAST";"ME3";
"range1 [-inf - 0.495]";"range2 [0.495 - inf]";"range1 [-inf - 0.515]";"range2 [0.225 - inf]";"range1 [-inf - 0.510]";"range1 [-inf - 0.250]";"range1 [-inf - 0.515]";"range1 [-inf - 0.225]";"BUD5_YEAST";"CYT";
