Picked_Hero, Role,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Gold,Result
Sun,Fighter,Windtalker,Haas Claw,Demon Wings,Exotic Veil,Divine Glaive,Ares Belt,8334,Defeat
Roger,Marksman,Oracle,Arcane Boots,Oracle,Haas Claw,Warrior Boots,Demon Wings,13125,Defeat
Miya,Marksman,Arcane Boots,Exotic Veil,Ares Belt,Haas Claw,Divine Glaive,Immortality,10237,Defeat
Franco,Tank,Curse Sword,Exotic Veil,Haas Claw,Oracle,Arcane Boots,Demon Wings,13210,Victory
Sun,Fighter,Windtalker,Haas Claw,Immortality,Arcane Boots,Demon Wings,Oracle,13322,Victory
Harith,Mage,Arcane Boots,Immortality,Exotic Veil,Haas Claw,Divine Glaive,Ares Belt,12156,Victory
Alucard,Assassin,Curse Sword,Arcane Boots,Warrior Boots,Demon Wings,Haas Claw,Immortality,14013,Victory
Gord,Mage,Windtalker,Arcane Boots,Demon Wings,Immortality,Exotic Veil,Oracle,15703,Victory
Chang\'e,Mage,Windtalker,Curse Sword,Haas Claw,Arcane Boots,Warrior Boots,Demon Wings,1221,Defeat
Cyclops,Mage,Windtalker,Haas Claw,Arcane Boots,Demon Wings,Divine Glaive,Oracle,19035,Defeat
Chou,Fighter,Demon Wings,Curse Sword,Oracle,Arcane Boots,Haas Claw,Ares Belt,12030,Defeat
Gord,Mage,Oracle,Haas Claw,Arcane Boots,Ares Belt,Demon Wings,Curse Sword,13119,Defeat
Sun,Fighter,Windtalker,Haas Claw,Demon Wings,Oracle,Immortality,Arcane Boots,12507,Defeat
Layla,Marksman,Haas Claw,Ares Belt,Curse Sword,Arcane Boots,Divine Glaive,Demon Wings,15067,Defeat
Roger,Marksman,Haas Claw,Exotic Veil,Curse Sword,Oracle,Divine Glaive,Arcane Boots,11020,Defeat
Nana,Mage,Oracle,Arcane Boots,Haas Claw,Exotic Veil,Divine Glaive,Demon Wings,17014,Defeat
Balmond,Tank,Windtalker,Curse Sword,Oracle,Arcane Boots,Demon Wings,Ares Belt,14912,Defeat
Harith,Mage,Demon Wings,Arcane Boots,Haas Claw,Exotic Veil,Ares Belt,Immortality,14036,Defeat
Sun,Fighter,Oracle,Demon Wings,Haas Claw,Arcane Boots,Exotic Veil,Curse Sword,13235,Victory
Lesley,Marksman,Windtalker,Arcane Boots,Immortality,Exotic Veil,Demon Wings,Warrior Boots,14010,Victory
Eudora,Mage,Curse Sword,Demon Wings,Windtalker,Warrior Boots,Arcane Boots,Immortality,19325,Victory
Tigreal,Tank,Arcane Boots,Haas Claw,Exotic Veil,Windtalker,Immortality,Divine Glaive,15210,Victory
Nana,Mage,Curse Sword,Arcane Boots,Immortality,Haas Claw,Demon Wings,Divine Glaive,14389,Victory
Saber,Assassin,Oracle,Warrior Boots,Arcane Boots,Ares Belt,Divine Glaive,Demon Wings,13177,Victory
Aldous,Fighter,Curse Sword,Oracle,Exotic Veil,Warrior Boots,Arcane Boots,Immortality,16227,Victory
Thamuz,Tank,Curse Sword,Arcane Boots,Exotic Veil,Haas Claw,Immortality,Demon Wings,18911,Victory
Nana,Mage,Arcane Boots,Haas Claw,Warrior Boots,Immortality,Demon Wings,Divine Glaive,19541,Victory
Chang\'e,Mage,Demon Wings,Curse Sword,Arcane Boots,Exotic Veil,Immortality,Divine Glaive,13982,Victory
Minotaur,Tank,Demon Wings,Arcane Boots,Curse Sword,Windtalker,Divine Glaive,Ares Belt,9512,Defeat
Miya,Marksman,Arcane Boots,Demon Wings,Windtalker,Exotic Veil,Divine Glaive,Immortality,12235,Defeat
Lesley,Assassin,Demon Wings,Oracle,Arcane Boots,Curse Sword,Warrior Boots,Windtalker,9212,Defeat
Nana,Mage,Oracle,Haas Claw,Demon Wings,Ares Belt,Arcane Boots,Divine Glaive,9615,Defeat
Roger,Marksman,Haas Claw,Arcane Boots,Oracle,Exotic Veil,Demon Wings,Divine Glaive,11007,Defeat
Irithel,Marksman,Haas Claw,Curse Sword,Oracle,Arcane Boots,Windtalker,Demon Wings,9028,Defeat
Miya,Marksman,Demon Wings,Ares Belt,Arcane Boots,Warrior Boots,Windtalker,Divine Glaive,11019,Defeat
Akai,Tank,Ares Belt,Arcane Boots,Oracle,Windtalker,Exotic Veil,Demon Wings,13654,Defeat
Aldous,Fighter,Haas Claw,Demon Wings,Windtalker,Arcane Boots,Divine Glaive,Ares Belt,9718,Defeat
Roger,Marksman,Oracle,Haas Claw,Arcane Boots,Exotic Veil,Ares Belt,Demon Wings,11336,Defeat
Nana,Mage,Curse Sword,Warrior Boots,Arcane Boots,Haas Claw,Exotic Veil,Immortality,10232,Victory
Irithel,Marksman,Curse Sword,Arcane Boots,Warrior Boots,Windtalker,Immortality,Divine Glaive,18543,Victory
Sun,Fighter,Arcane Boots,Demon Wings,Oracle,Immortality,Exotic Veil,Divine Glaive,13323,Victory
Tigreal,Tank,Curse Sword,Warrior Boots,Oracle,Haas Claw,Immortality,Arcane Boots,12633,Victory
Gord,Mage,Oracle,Warrior Boots,Arcane Boots,Immortality,Windtalker,Divine Glaive,13432,Victory
